*** NEC ADMITTANCE FILE
 Fan antenna impedance.  Symbols a 1 Mhz increments                                                                    
            F (MHz)        ZR          ZI
     278  2.96996E+00 7.40817E-05 6.92680E-03
     279  2.97346E+00 7.46061E-05 6.94387E-03
     280  2.97696E+00 7.51338E-05 6.96100E-03
     281  2.98046E+00 7.56655E-05 6.97819E-03
     282  2.98396E+00 7.62011E-05 6.99543E-03
     283  2.98747E+00 7.67407E-05 7.01274E-03
     284  2.99097E+00 7.72840E-05 7.03011E-03
     285  2.99447E+00 7.78312E-05 7.04753E-03
     286  2.99797E+00 7.83820E-05 7.06501E-03
     287  3.00147E+00 7.89369E-05 7.08256E-03 1
     288  3.00497E+00 7.94958E-05 7.10017E-03
     289  3.00848E+00 8.00582E-05 7.11783E-03
     290  3.01198E+00 8.06253E-05 7.13556E-03
     291  3.01548E+00 8.11962E-05 7.15335E-03
     292  3.01898E+00 8.17711E-05 7.17120E-03
     293  3.02248E+00 8.23503E-05 7.18912E-03
     294  3.02598E+00 8.29338E-05 7.20710E-03
     295  3.02949E+00 8.35208E-05 7.22514E-03
     296  3.03299E+00 8.41126E-05 7.24325E-03
     297  3.03649E+00 8.47087E-05 7.26142E-03
     298  3.03999E+00 8.53088E-05 7.27965E-03
     299  3.04349E+00 8.59133E-05 7.29795E-03
     300  3.04699E+00 8.65223E-05 7.31632E-03
     301  3.05050E+00 8.71354E-05 7.33475E-03
     302  3.05400E+00 8.77530E-05 7.35325E-03
     303  3.05750E+00 8.83748E-05 7.37181E-03
     304  3.06100E+00 8.90016E-05 7.39045E-03
     305  3.06450E+00 8.96327E-05 7.40915E-03
     306  3.06800E+00 9.02685E-05 7.42791E-03
     307  3.07151E+00 9.09084E-05 7.44675E-03
     308  3.07501E+00 9.15535E-05 7.46565E-03
     309  3.07851E+00 9.22025E-05 7.48463E-03
     310  3.08201E+00 9.28569E-05 7.50367E-03
     311  3.08551E+00 9.35162E-05 7.52279E-03
     312  3.08901E+00 9.41797E-05 7.54197E-03
     313  3.09252E+00 9.48485E-05 7.56122E-03
     314  3.09602E+00 9.55221E-05 7.58055E-03
