# co_eff.asc
# Efficiency: eta = P_rad / P_in
# Frequency               P_in                    P_rad                   eta
  0.166000000000000E+002  0.000000000000000E+000  0.396649041944300E-003                     INF
  0.167000000000000E+002  0.000000000000000E+000  0.382225462709672E-003                     INF
  0.168000000000000E+002  0.000000000000000E+000  0.367865618153862E-003                     INF
  0.169000000000000E+002  0.000000000000000E+000  0.353467043099566E-003                     INF
  0.170000000000000E+002  0.000000000000000E+000  0.338946077735718E-003                     INF
  0.171000000000000E+002  0.000000000000000E+000  0.324227699785215E-003                     INF
  0.172000000000000E+002  0.000000000000000E+000  0.309274633613991E-003                     INF
  0.173000000000000E+002  0.000000000000000E+000  0.294080635460514E-003                     INF
  0.174000000000000E+002  0.000000000000000E+000  0.278666804671154E-003                     INF
  0.175000000000000E+002  0.000000000000000E+000  0.263110819731290E-003                     INF
  0.176000000000000E+002  0.000000000000000E+000  0.247519154847982E-003                     INF
  0.177000000000000E+002  0.000000000000000E+000  0.232057651861569E-003                     INF
  0.178000000000000E+002  0.000000000000000E+000  0.216912934249549E-003                     INF
  0.179000000000000E+002  0.000000000000000E+000  0.202314835237559E-003                     INF
  0.180000000000000E+002  0.000000000000000E+000  0.188484498317747E-003                     INF
  0.181000000000000E+002  0.000000000000000E+000  0.175618684901239E-003                     INF
  0.182000000000000E+002  0.000000000000000E+000  0.163917304835835E-003                     INF
  0.183000000000000E+002  0.000000000000000E+000  0.153542598004967E-003                     INF
  0.184000000000000E+002  0.000000000000000E+000  0.144598242645410E-003                     INF
  0.185000000000000E+002  0.000000000000000E+000  0.137045595852906E-003                     INF
  0.186000000000000E+002  0.000000000000000E+000  0.130778976219244E-003                     INF
  0.187000000000000E+002  0.000000000000000E+000  0.125688461741259E-003                     INF
  0.188000000000000E+002  0.000000000000000E+000  0.121675607308095E-003                     INF
  0.189000000000000E+002  0.000000000000000E+000  0.118621656265176E-003                     INF
  0.190000000000000E+002  0.000000000000000E+000  0.116401409931031E-003                     INF
